position	mouseID	ageSex	treatment	timePoint
Box2_B1	527297_10	agedFemale	sham	baseline
Box2_A7	527297_2	agedFemale	sham	baseline
Box4_B6	527297_2	agedFemale	sham	postStroke24h
Box3_B1	527297_2	agedFemale	sham	postReperfusion3h
Box2_B2	529723_30	agedFemale	sham	baseline
Box2_E6	529723_30	agedFemale	sham	postStroke24h
Box2_E5	529723_30	agedFemale	sham	postReperfusion3h
Box1_F2	529738_10	agedFemale	stroke	postStroke24h
Box1_F1	529738_10	agedFemale	stroke	postReperfusion3h
Box1_E7	529738_10	agedFemale	stroke	baseline
Box1_E4	529738_1	agedFemale	stroke	postStroke24h
Box1_E5	529738_1	agedFemale	stroke	postReperfusion3h
Box1_E6	529738_1	agedFemale	stroke	baseline
Box1_F5	529738_30	agedFemale	stroke	postStroke24h
Box1_F4	529738_30	agedFemale	stroke	postReperfusion3h
Box1_F3	529738_30	agedFemale	stroke	baseline
Box3_A5	546383_1	agedFemale	antiLy6G	postReperfusion3h
Box2_B3	546383_1	agedFemale	antiLy6G	baseline
Box3_A2	546383_2	agedFemale	antiLy6G	postStroke24h
Box3_A4	546383_2	agedFemale	antiLy6G	postReperfusion3h
Box2_B4	546383_2	agedFemale	antiLy6G	baseline
Box2_B5	546383_3	agedFemale	antiLy6G	baseline
Box2_G6	546384_10	agedFemale	antiLy6G	postStroke24h
Box3_A3	546384_10	agedFemale	antiLy6G	postReperfusion3h
Box2_C3	546384_10	agedFemale	antiLy6G	baseline
Box2_G7	546384_3	agedFemale	antiLy6G	postStroke24h
Box2_G4	546384_3	agedFemale	antiLy6G	postReperfusion3h
Box2_C2	546384_3	agedFemale	antiLy6G	baseline
Box2_B7	546385_10	agedFemale	sham	baseline
Box2_F5	546385_10	agedFemale	sham	postStroke24h
Box2_F2	546385_10	agedFemale	sham	postReperfusion3h
Box2_F1	546385_1	agedFemale	sham	postStroke24h
Box2_E7	546385_1	agedFemale	sham	postReperfusion3h
Box2_F3	546385_2	agedFemale	antiLy6G	postStroke24h
Box2_F4	546385_2	agedFemale	antiLy6G	postReperfusion3h
Box2_B6	546385_2	agedFemale	antiLy6G	baseline
Box2_C1	546385_30	agedFemale	sham	baseline
Box2_F6	546385_30	agedFemale	sham	postStroke24h
Box2_E3	546385_30	agedFemale	sham	postReperfusion3h
Box2_E4	546385_30	agedFemale	sham	postReperfusion3h
Box2_G3	546386_1	agedFemale	antiLy6G	postStroke24h
Box2_F7	546386_1	agedFemale	antiLy6G	postReperfusion3h
Box2_D7	546386_1	agedFemale	antiLy6G	baseline
Box2_G2	546386_2	agedFemale	antiLy6G	postStroke24h
Box2_G1	546386_2	agedFemale	antiLy6G	postReperfusion3h
Box2_E1	546386_2	agedFemale	antiLy6G	baseline
Box2_G5	546386_3	agedFemale	antiLy6G	postStroke24h
Box2_E2	546386_3	agedFemale	antiLy6G	baseline
